"","session.code","subsession.round_number","participant.id_in_session","player.id_in_group","player.t","player.vote","player.bid","player.lama","player.payoff","group.price","group.policy","group.uniforme","group.costo","player.why_accept","player.why_reject","player.other_accept","player.other_reject","player.age","player.gender","player.major","player.political","player.gpa","player.finalassets","player.lama_star","player.vote_cond","marca","total_yes","player.better.yes","player.change_vote","player.better.yes.lag","player.t.lag","player.vote.lag","group.policy.lag","total_yes.lag","player.bid.delta"
"1320","7o4740qq",35,6,6,0,0,100,0.27,100,100,0,1,35," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Woman","Science, technology, engineering and mathematics","Left",3.8,1,0.35,0,9,2,0,NA,0,-1,NA,1,7,0
"1321","7o4740qq",36,6,6,1,0,100,0.27,101,99,0,1,35," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Woman","Science, technology, engineering and mathematics","Left",3.8,2,0.7,0,9,2,0,0,0,0,0,0,2,0
"1322","7o4740qq",37,6,6,0,0,100,0.27,92,100,1,1,35," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Woman","Science, technology, engineering and mathematics","Left",3.8,1,0.35,0,10,6,0,0,0,1,0,0,2,0
"1323","7o4740qq",38,6,6,0,0,100,0.27,92,100,1,1,35," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Woman","Science, technology, engineering and mathematics","Left",3.8,1,0.35,0,10,6,0,0,0,0,0,1,6,0
"1324","7o4740qq",39,6,6,0,0,100,0.27,92,100,1,1,35," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Woman","Science, technology, engineering and mathematics","Left",3.8,1,0.35,0,10,6,0,0,0,0,0,1,6,0
"1325","7o4740qq",40,6,6,1,0,100,0.27,100,100,0,1,35," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Woman","Science, technology, engineering and mathematics","Left",3.8,2,0.7,0,10,3,0,0,0,0,0,1,6,0
"1326","7o4740qq",41,6,6,1,0,100,0.27,101,99,0,1,20," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Woman","Science, technology, engineering and mathematics","Left",3.8,2,0.4,0,11,5,0,0,0,1,0,0,3,0
"1327","7o4740qq",42,6,6,0,1,100,0.27,107,100,1,1,20," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Woman","Science, technology, engineering and mathematics","Left",3.8,1,0.2,1,11,7,0,1,0,1,0,0,5,0
"1328","7o4740qq",43,6,6,0,1,100,0.27,107,100,1,1,20," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Woman","Science, technology, engineering and mathematics","Left",3.8,1,0.2,1,11,6,0,0,0,0,1,1,7,0
"1329","7o4740qq",44,6,6,-1,NA,100,0.27,100,100,0,1,20," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Woman","Science, technology, engineering and mathematics","Left",3.8,0,NA,NA,11,5,0,NA,0,0,1,1,6,0
